            Время    Канал: 0    Канал: 1 
 00:00:00.046.978     -0.7568     -0.2979 
 00:00:00.047.144     -0.7568     -0.1001 
 00:00:00.047.310     -0.7251      0.0806 
 00:00:00.047.476     -0.7251      0.2783 
 00:00:00.047.642     -0.6958      0.4492 
 00:00:00.047.808     -0.6860      0.6177 
 00:00:00.047.974     -0.6177      0.7764 
 00:00:00.048.140     -0.4175      0.9253 
 00:00:00.048.306     -0.2173      1.0645 
 00:00:00.048.472     -0.0586      1.1938 
 00:00:00.048.638      0.0195      1.3354 
 00:00:00.048.804      0.1196      1.4331 
 00:00:00.048.970      0.1904      1.5430 
 00:00:00.049.136      0.2588      1.6724 
 00:00:00.049.302      0.3101      1.7627 
 00:00:00.049.468      0.3491      1.8628 
 00:00:00.049.634      0.3882      1.9312 
 00:00:00.049.800      0.4492      2.0117 
 00:00:00.049.966      0.4785      2.1021 
 00:00:00.050.132      0.5176      2.1704 
 00:00:00.050.298      0.5371      2.2510 
 00:00:00.050.464      0.5591      2.3096 
 00:00:00.050.630      0.5884      2.3486 
 00:00:00.050.796      0.6177      2.3999 
 00:00:00.050.962      0.6177      2.4292 
 00:00:00.051.128      0.6470      2.4780 
 00:00:00.051.294      0.6372      2.5391 
 00:00:00.051.460      0.6885      2.5586 
 00:00:00.051.626      0.6763      2.6074 
 00:00:00.051.792      0.6885      2.6294 
 00:00:00.051.958      0.7178      2.6587 
 00:00:00.052.124      0.7275      2.7075 
 00:00:00.052.290      0.7275      2.7490 
 00:00:00.052.456      0.7373      2.7979 
 00:00:00.052.622      0.7568      2.8784 
 00:00:00.052.788      0.7764      2.9370 
 00:00:00.052.954      0.7861      3.0078 
 00:00:00.053.120      0.7959      3.0566 
 00:00:00.053.286      0.8057      3.1055 
 00:00:00.053.452      0.8057      3.1567 
 00:00:00.053.618      0.8179      3.1763 
 00:00:00.053.784      0.8276      3.1470 
 00:00:00.053.950      0.8276      3.1250 
 00:00:00.054.116      0.8374      3.0762 
 00:00:00.054.282      0.8374      2.9175 
 00:00:00.054.448      0.8179      2.7979 
 00:00:00.054.614      0.7959      2.6685 
 00:00:00.054.780      0.8057      2.5391 
 00:00:00.054.946      0.7959      2.4097 
 00:00:00.055.112      0.7861      2.2607 
 00:00:00.055.278      0.7959      2.1118 
 00:00:00.055.444      0.7861      1.9507 
 00:00:00.055.610      0.7959      1.8018 
 00:00:00.055.776      0.7861      1.6333 
 00:00:00.055.942      0.7666      1.4526 
 00:00:00.056.108      0.7568      1.2646 
 00:00:00.056.274      0.7568      1.0864 
 00:00:00.056.440      0.7764      0.8960 
 00:00:00.056.606      0.7471      0.7178 
 00:00:00.056.772      0.7471      0.5273 
 00:00:00.056.938      0.7373      0.3394 
 00:00:00.057.104      0.7275      0.1489 
 00:00:00.057.270      0.7275     -0.0488 
 00:00:00.057.436      0.7080     -0.2393 
 00:00:00.057.602      0.7080     -0.4077 
 00:00:00.057.768      0.6763     -0.5859 
 00:00:00.057.934      0.6274     -0.7471 
 00:00:00.058.100      0.4980     -0.9058 
 00:00:00.058.266      0.2783     -1.0645 
 00:00:00.058.432      0.1196     -1.1938 
 00:00:00.058.598      0.0195     -1.3330 
 00:00:00.058.764     -0.0684     -1.4136 
 00:00:00.058.930     -0.1392     -1.5234 
 00:00:00.059.096     -0.1782     -1.6211 
 00:00:00.059.262     -0.2295     -1.7310 
 00:00:00.059.428     -0.3076     -1.8311 
 00:00:00.059.594     -0.3467     -1.9116 
 00:00:00.059.760     -0.3979     -2.0093 
 00:00:00.059.926     -0.4468     -2.0801 
 00:00:00.060.092     -0.4663     -2.1606 
 00:00:00.060.258     -0.5078     -2.2192 
 00:00:00.060.424     -0.5371     -2.2900 
 00:00:00.060.590     -0.5664     -2.3291 
 00:00:00.060.756     -0.5762     -2.3779 
 00:00:00.060.922     -0.6055     -2.4390 
 00:00:00.061.088     -0.6372     -2.4585 
 00:00:00.061.254     -0.6665     -2.5171 
 00:00:00.061.420     -0.6665     -2.5684 
 00:00:00.061.586     -0.6958     -2.5977 
 00:00:00.061.752     -0.7251     -2.6367 
 00:00:00.061.918     -0.7251     -2.6660 
 00:00:00.062.084     -0.7471     -2.6978 
 00:00:00.062.250     -0.7568     -2.7466 
 00:00:00.062.416     -0.7666     -2.7856 
 00:00:00.062.583     -0.7959     -2.8467 
 00:00:00.062.749     -0.7861     -2.9150 
 00:00:00.062.915     -0.8154     -2.9858 
 00:00:00.063.081     -0.8057     -3.0444 
 00:00:00.063.247     -0.8350     -3.0957 
 00:00:00.063.413     -0.8350     -3.1445 
 00:00:00.063.579     -0.8447     -3.1641 
 00:00:00.063.745     -0.8350     -3.1738 
 00:00:00.063.911     -0.8252     -3.1445 
 00:00:00.064.077     -0.8350     -3.0957 
 00:00:00.064.243     -0.8252     -2.9761 
 00:00:00.064.409     -0.8350     -2.8369 
 00:00:00.064.575     -0.8057     -2.7271 
 00:00:00.064.741     -0.8057     -2.5879 
 00:00:00.064.907     -0.8252     -2.4487 
 00:00:00.065.073     -0.7861     -2.3096 
 00:00:00.065.239     -0.7959     -2.1484 
 00:00:00.065.405     -0.8154     -1.9897 
 00:00:00.065.571     -0.7861     -1.8408 
 00:00:00.065.737     -0.7861     -1.6821 
 00:00:00.065.903     -0.7861     -1.5112 
 00:00:00.066.069     -0.7666     -1.3232 
 00:00:00.066.235     -0.7764     -1.1548 
 00:00:00.066.401     -0.7959     -0.9546 
 00:00:00.066.567     -0.7666     -0.7666 
 00:00:00.066.733     -0.7764     -0.5859 
 00:00:00.066.899     -0.7471     -0.3979 
 00:00:00.067.065     -0.7666     -0.2075 
 00:00:00.067.231     -0.7471     -0.0098 
 00:00:00.067.397     -0.7349      0.1709 
 00:00:00.067.563     -0.7251      0.3687 
 00:00:00.067.729     -0.6958      0.5273 
 00:00:00.067.895     -0.6567      0.7080 
 00:00:00.068.061     -0.5176      0.8667 
 00:00:00.068.227     -0.3174      0.9863 
 00:00:00.068.393     -0.1392      1.1255 
 00:00:00.068.559     -0.0098      1.2549 
 00:00:00.068.725      0.0903      1.3745 
 00:00:00.068.891      0.1807      1.4941 
 00:00:00.069.057      0.2295      1.6040 
 00:00:00.069.223      0.2881      1.7236 
 00:00:00.069.389      0.3296      1.8018 
 00:00:00.069.555      0.3882      1.9019 
 00:00:00.069.721      0.4297      1.9922 
 00:00:00.069.887      0.4590      2.0605 
 00:00:00.070.053      0.4980      2.1411 
 00:00:00.070.219      0.5371      2.1997 
 00:00:00.070.385      0.5688      2.2705 
 00:00:00.070.551      0.5688      2.3291 
 00:00:00.070.717      0.5981      2.3608 
 00:00:00.070.883      0.6079      2.4097 
 00:00:00.071.049      0.6372      2.4683 
 00:00:00.071.215      0.6567      2.5000 
 00:00:00.071.381      0.6567      2.5488 
 00:00:00.071.547      0.6885      2.5879 
 00:00:00.071.713      0.7080      2.6074 
 00:00:00.071.879      0.7080      2.6489 
 00:00:00.072.045      0.7178      2.6782 
 00:00:00.072.211      0.7373      2.7173 
 00:00:00.072.377      0.7373      2.7588 
 00:00:00.072.543      0.7666      2.8174 
 00:00:00.072.709      0.7666      2.8662 
 00:00:00.072.875      0.7764      2.9663 
 00:00:00.073.041      0.7861      3.0273 
 00:00:00.073.207      0.7959      3.0762 
 00:00:00.073.373      0.8179      3.1152 
 00:00:00.073.539      0.8276      3.1372 
 00:00:00.073.705      0.8276      3.1567 
 00:00:00.073.871      0.8569      3.1470 
 00:00:00.074.037      0.8276      3.0957 
 00:00:00.074.203      0.8276      2.9858 
 00:00:00.074.369      0.8276      2.8564 
 00:00:00.074.535      0.7959      2.7368 
 00:00:00.074.701      0.8179      2.6074 
 00:00:00.074.867      0.8179      2.4683 
 00:00:00.075.033      0.8057      2.3291 
 00:00:00.075.199      0.7959      2.1997 
 00:00:00.075.365      0.7764      2.0410 
 00:00:00.075.531      0.7861      1.8628 
 00:00:00.075.697      0.7861      1.7114 
 00:00:00.075.863      0.7764      1.5430 
 00:00:00.076.029      0.7764      1.3550 
 00:00:00.076.195      0.7764      1.1841 
 00:00:00.076.361      0.7373      0.9961 
 00:00:00.076.527      0.7471      0.8057 
 00:00:00.076.693      0.7568      0.6274 
 00:00:00.076.859      0.7471      0.4395 
 00:00:00.077.025      0.7373      0.2490 
 00:00:00.077.191      0.7471      0.0415 
 00:00:00.077.357      0.7178     -0.1294 
 00:00:00.077.523      0.7178     -0.3174 
 00:00:00.077.689      0.6982     -0.4883 
 00:00:00.077.855      0.6665     -0.6567 
 00:00:00.078.021      0.5786     -0.8350 
 00:00:00.078.187      0.3784     -0.9741 
 00:00:00.078.353      0.2100     -1.1353 
 00:00:00.078.519      0.0806     -1.2427 
 00:00:00.078.685      0.0000     -1.3525 
 00:00:00.078.851     -0.0684     -1.4526 
 00:00:00.079.017     -0.1489     -1.5723 
 00:00:00.079.183     -0.2075     -1.6919 
 00:00:00.079.349     -0.2686     -1.7822 
 00:00:00.079.515     -0.3271     -1.8604 
 00:00:00.079.681     -0.3589     -1.9507 
 00:00:00.079.847     -0.4077     -2.0288 
 00:00:00.080.013     -0.4272     -2.0996 
 00:00:00.080.179     -0.4761     -2.1899 
 00:00:00.080.345     -0.5176     -2.2485 
 00:00:00.080.511     -0.5566     -2.3096 
 00:00:00.080.677     -0.5859     -2.3584 
 00:00:00.080.843     -0.6055     -2.3975 
 00:00:00.081.009     -0.6372     -2.4780 
 00:00:00.081.175     -0.6470     -2.4878 
 00:00:00.081.341     -0.6665     -2.5366 
 00:00:00.081.507     -0.6763     -2.5781 
 00:00:00.081.673     -0.7153     -2.6074 
 00:00:00.081.839     -0.7251     -2.6563 
 00:00:00.082.005     -0.7349     -2.6880 
 00:00:00.082.171     -0.7471     -2.7075 
 00:00:00.082.337     -0.7568     -2.7661 
 00:00:00.082.503     -0.7764     -2.7954 
 00:00:00.082.669     -0.7959     -2.8564 
 00:00:00.082.835     -0.8057     -2.9370 
 00:00:00.083.001     -0.8057     -2.9858 
 00:00:00.083.167     -0.8252     -3.0542 
 00:00:00.083.333     -0.8252     -3.1055 
 00:00:00.083.499     -0.8447     -3.1250 
 00:00:00.083.665     -0.8350     -3.1348 
 00:00:00.083.831     -0.8252     -3.1348 
 00:00:00.083.997     -0.8154     -3.1152 
 00:00:00.084.163     -0.8252     -3.0664 
 00:00:00.084.329     -0.8057     -2.9053 
 00:00:00.084.495     -0.8154     -2.7759 
 00:00:00.084.661     -0.8057     -2.6465 
 00:00:00.084.827     -0.8154     -2.5073 
 00:00:00.084.993     -0.8154     -2.3682 
 00:00:00.085.159     -0.7764     -2.2290 
 00:00:00.085.325     -0.7861     -2.0898 
 00:00:00.085.491     -0.7861     -1.9312 
 00:00:00.085.657     -0.7764     -1.7700 
 00:00:00.085.823     -0.7666     -1.6016 
 00:00:00.085.989     -0.7861     -1.4136 
 00:00:00.086.155     -0.7666     -1.2329 
 00:00:00.086.321     -0.7666     -1.0547 
 00:00:00.086.487     -0.7568     -0.8643 
 00:00:00.086.653     -0.7666     -0.6860 
 00:00:00.086.819     -0.7568     -0.4980 
 00:00:00.086.985     -0.7349     -0.2979 
 00:00:00.087.151     -0.7349     -0.1099 
 00:00:00.087.317     -0.7251      0.0708 
 00:00:00.087.483     -0.7251      0.2588 
 00:00:00.087.649     -0.6958      0.4492 
 00:00:00.087.815     -0.6763      0.6274 
 00:00:00.087.981     -0.5957      0.7861 
 00:00:00.088.147     -0.4175      0.9253 
 00:00:00.088.313     -0.2173      1.0547 
 00:00:00.088.479     -0.0684      1.1841 
 00:00:00.088.645      0.0513      1.3135 
 00:00:00.088.811      0.1294      1.4233 
 00:00:00.088.977      0.2100      1.5430 
 00:00:00.089.143      0.2686      1.6626 
 00:00:00.089.309      0.3003      1.7529 
 00:00:00.089.475      0.3882      1.8408 
 00:00:00.089.641      0.4077      1.9312 
 00:00:00.089.807      0.4492      2.0313 
 00:00:00.089.973      0.4785      2.1021 
 00:00:00.090.139      0.5078      2.1606 
 00:00:00.090.305      0.5371      2.2314 
 00:00:00.090.471      0.5688      2.3096 
 00:00:00.090.637      0.5786      2.3486 
 00:00:00.090.803      0.6079      2.3999 
 00:00:00.090.969      0.6372      2.4487 
 00:00:00.091.135      0.6470      2.4780 
 00:00:00.091.301      0.6665      2.5098 
 00:00:00.091.467      0.6763      2.5586 
 00:00:00.091.633      0.7178      2.6074 
 00:00:00.091.799      0.7080      2.6294 
 00:00:00.091.965      0.7178      2.6685 
 00:00:00.092.131      0.7178      2.6880 
 00:00:00.092.297      0.7373      2.7368 
 00:00:00.092.463      0.7471      2.7881 
 00:00:00.092.629      0.7861      2.8564 
 00:00:00.092.795      0.7764      2.8979 
 00:00:00.092.961      0.7959      2.9761 
 00:00:00.093.127      0.7959      3.0566 
 00:00:00.093.293      0.8057      3.0859 
 00:00:00.093.459      0.8179      3.1372 
 00:00:00.093.625      0.8472      3.1470 
 00:00:00.093.791      0.8179      3.1372 
 00:00:00.093.957      0.8276      3.1152 
 00:00:00.094.123      0.8374      3.0566 
 00:00:00.094.289      0.8374      2.9272 
 00:00:00.094.455      0.8179      2.7979 
 00:00:00.094.621      0.8374      2.6685 
 00:00:00.094.787      0.8179      2.5293 
 00:00:00.094.953      0.8057      2.4097 
 00:00:00.095.119      0.8057      2.2607 
 00:00:00.095.285      0.7861      2.1021 
 00:00:00.095.451      0.7959      1.9507 
 00:00:00.095.617      0.7861      1.8018 
 00:00:00.095.783      0.7764      1.6333 
 00:00:00.095.949      0.7861      1.4526 
 00:00:00.096.115      0.7666      1.2744 
 00:00:00.096.281      0.7764      1.1060 
 00:00:00.096.447      0.7471      0.9058 
 00:00:00.096.613      0.7568      0.7178 
 00:00:00.096.779      0.7568      0.5273 
 00:00:00.096.945      0.7471      0.3394 
 00:00:00.097.111      0.7373      0.1587 
 00:00:00.097.277      0.7275     -0.0293 
 00:00:00.097.443      0.7373     -0.2173 
 00:00:00.097.609      0.7178     -0.4077 
 00:00:00.097.775      0.6885     -0.5664 
 00:00:00.097.941      0.6274     -0.7349 
 00:00:00.098.107      0.4980     -0.9058 
 00:00:00.098.273      0.2881     -1.0547 
 00:00:00.098.439      0.1392     -1.1548 
 00:00:00.098.605      0.0415     -1.2939 
 00:00:00.098.771     -0.0488     -1.3940 
 00:00:00.098.937     -0.1196     -1.5112 
 00:00:00.099.103     -0.1685     -1.6211 
 00:00:00.099.269     -0.2490     -1.7212 
 00:00:00.099.435     -0.2979     -1.8311 
 00:00:00.099.601     -0.3467     -1.9214 
 00:00:00.099.767     -0.3979     -1.9897 
 00:00:00.099.933     -0.4272     -2.0703 
 00:00:00.100.099     -0.4565     -2.1387 
 00:00:00.100.265     -0.5176     -2.2095 
 00:00:00.100.431     -0.5176     -2.2681 
