637,907,	1,81
638,438,	1,77
639,	1,8
639,563,	1,81
640,078,	1,78
640,625,	1,8
641,188,	1,79
641,75,	1,82
642,266,	1,78
642,797,	1,81
643,328,	1,79
643,86,	1,81
644,391,	1,8
644,907,	1,8
645,438,	1,82
646,	1,81
646,563,	1,83
647,141,	1,75
647,703,	1,82
648,235,	1,83
648,797,	1,79
649,344,	1,82
649,875,	1,81
650,422,	1,77
650,985,	1,79
651,516,	1,78
652,047,	1,82
652,594,	1,8
653,125,	1,81
653,657,	1,8
654,203,	1,79
654,766,	1,81
655,313,	1,82
655,844,	1,8
656,36,	1,81
656,891,	1,81
657,422,	1,82
657,985,	1,81
658,5,	1,78
659,032,	1,8
659,61,	1,8
660,141,	1,78
660,703,	1,8
661,25,	1,81
661,782,	1,8
662,313,	1,78
662,86,	1,8
663,391,	1,81
663,938,	1,79
664,5,	1,8
665,032,	1,8
665,547,	1,79
666,078,	1,77
666,641,	1,81
667,157,	1,79
667,688,	1,79
668,25,	1,77
668,766,	1,77
669,313,	1,77
669,875,	1,78
670,438,	1,77
670,969,	1,79
671,5,	1,79
672,047,	1,78
672,578,	1,8
673,094,	1,8
673,625,	1,81
674,157,	1,81
674,688,	1,79
675,203,	1,79
675,735,	1,77
676,297,	1,8
676,813,	1,78
677,344,	1,81
677,875,	1,77
678,407,	1,82
678,953,	1,77
679,485,	1,76
680,032,	1,79
680,594,	1,79
681,125,	1,81
681,641,	1,77
682,172,	1,79
682,735,	1,76
683,25,	1,78
683,782,	1,77
684,344,	1,78
684,86,	1,8
685,407,	1,81
685,969,	1,76
686,547,	1,79
687,078,	1,78
687,641,	1,77
688,188,	1,78
688,719,	1,78
689,25,	1,78
689,782,	1,82
690,297,	1,8
690,828,	1,83
691,36,	1,79
691,922,	1,8
692,485,	1,78
693,016,	1,76
693,578,	1,8
694,141,	1,79
694,719,	1,77
695,235,	1,77
695,766,	1,79
696,344,	1,77
696,875,	1,82
697,438,	1,8
697,985,	1,8
698,516,	1,8
699,063,	1,77
699,594,	1,78
700,125,	1,77
700,672,	1,79
701,219,	1,79
701,766,	1,79
702,282,	1,78
702,813,	1,8
703,375,	1,81
703,891,	1,76
704,422,	1,79
704,985,	1,8
705,5,	1,8
706,047,	1,79
706,61,	1,8
707,172,	1,82
707,688,	1,78
708,235,	1,78
708,782,	1,81
709,328,	1,79
709,891,	1,79
710,422,	1,8
710,938,	1,79
711,469,	1,79
712,	1,78
712,563,	1,8
713,125,	1,8
713,657,	1,78
714,219,	1,79
714,782,	1,73
715,297,	1,78
715,844,	1,79
716,407,	1,78
716,969,	1,81
717,485,	1,79
718,032,	1,78
718,578,	1,77
719,11,	1,76
719,625,	1,8
720,157,	1,79
720,703,	1,76
721,235,	1,77
721,782,	1,76
722,313,	1,8
722,844,	1,77
723,407,	1,77
723,922,	1,78
724,453,	1,79
725,032,	1,76
725,563,	1,77
726,125,	1,79
726,672,	1,77
727,203,	1,75
727,735,	1,78
728,266,	1,78
728,782,	1,77
729,313,	1,79
729,828,	1,77
730,36,	1,78
730,891,	1,8
731,453,	1,76
731,969,	1,79
732,5,	1,77
733,078,	1,8
733,61,	1,76
734,172,	1,8
734,719,	1,79
735,25,	1,79
735,797,	1,78
736,328,	1,76
736,86,	1,8
737,407,	1,75
737,953,	1,77
738,5,	1,84
739,016,	1,8
739,547,	1,8
740,11,	1,8
740,625,	1,76
741,157,	1,78
741,719,	1,76
742,235,	1,79
742,782,	1,78
743,344,	1,82
743,907,	1,77
744,438,	1,76
744,969,	1,79
745,516,	1,79
746,063,	1,79
746,625,	1,78
747,157,	1,78
747,672,	1,77
748,203,	1,79
748,735,	1,78
749,297,	1,75
749,86,	1,76
750,391,	1,78
750,953,	1,77
751,516,	1,77
752,032,	1,77
752,578,	1,77
753,141,	1,77
753,719,	1,77
754,25,	1,76
754,813,	1,75
755,313,	1,79
755,86,	1,78
756,422,	1,78
756,953,	1,77
757,469,	1,75
758,	1,79
758,516,	1,79
759,047,	1,76
759,578,	1,79
760,141,	1,78
760,657,	1,79
761,188,	1,78
761,766,	1,78
762,297,	1,78
762,86,	1,79
763,407,	1,77
763,938,	1,77
764,469,	1,77
765,	1,8
765,516,	1,78
766,047,	1,76
766,563,	1,77
767,094,	1,78
767,625,	1,75
768,188,	1,77
768,703,	1,79
769,235,	1,78
769,813,	1,76
770,344,	1,8
770,907,	1,78
771,453,	1,77
771,985,	1,76
772,516,	1,76
773,063,	1,78
773,594,	1,78
774,141,	1,77
774,703,	1,79
775,235,	1,78
775,75,	1,76
776,282,	1,78
776,813,	1,77
777,344,	1,79
777,891,	1,77
778,453,	1,81
778,969,	1,76
779,516,	1,78
780,078,	1,77
780,657,	1,77
781,188,	1,73
781,75,	1,78
782,25,	1,8
782,797,	1,76
783,36,	1,79
783,891,	1,79
784,407,	1,79
784,938,	1,77
785,469,	1,79
786,032,	1,78
786,594,	1,76
787,125,	1,78
787,688,	1,81
788,25,	1,78
788,828,	1,79
789,344,	1,77
789,875,	1,79
790,453,	1,78
790,985,	1,78
791,547,	1,79
792,094,	1,77
792,625,	1,78
793,172,	1,77
793,703,	1,76
794,235,	1,77
794,782,	1,78
795,344,	1,77
795,875,	1,78
796,391,	1,8
796,922,	1,79
797,485,	1,77
798,	1,79
798,532,	1,81
799,094,	1,77
799,625,	1,75
800,157,	1,76
800,719,	1,79
801,282,	1,77
801,813,	1,78
802,344,	1,77
802,86,	1,79
803,391,	1,78
803,922,	1,75
804,438,	1,75
804,969,	1,77
805,5,	1,77
806,032,	1,78
806,578,	1,76
807,141,	1,78
807,672,	1,77
808,219,	1,76
808,766,	1,77
809,344,	1,76
809,891,	1,77
810,438,	1,77
811,	1,79
811,547,	1,78
812,078,	1,76
812,625,	1,78
813,172,	1,78
813,719,	1,76
814,235,	1,79
814,766,	1,77
815,328,	1,76
815,891,	1,78
816,469,	1,75
817,032,	1,74
817,563,	1,75
818,125,	1,75
818,641,	1,76
819,172,	1,75
819,735,	1,77
820,266,	1,76
820,797,	1,76
821,344,	1,78
